old                                      new                                      ref
007affe5f32ce2b81834e3336926f11edf3bbbb3 e348d3044a48efe4f323bc23723c18484e250656 refs/heads/chore/core-to-master
a21683eff08cea511815db8a5a584408d93db8e3 ba77734534416d2546424953998d563eb88ee593 refs/heads/chore/gitignore
32aa4a945d4b89519387a22e9a05efcad4a2b5e9 df5da19f296409af20f86b4433755b0a17957352 refs/heads/ci/183
6c736092efd739ab60d29425448b6560f8d3c1cd 28f8ad76c202eea6cd64328ec6c8e9ede01e6618 refs/heads/dependabot/cargo/src-tauri/calamine-0.35.0
db78c6a7f1b94a17f77950b56467d08ff15fcd72 1b30b409c9e84ea84dfa6dcaa1549a4319ed61ec refs/heads/dependabot/cargo/src-tauri/hmac-0.13.0
1aaffbaf211d34542a8be89aa96f3f691280539b 3e7dbf862486aac9eaa011b8bc8801e16e2845a8 refs/heads/dependabot/cargo/src-tauri/minor-and-patch-66fd0cdf4b
643356deeb369e10d41d4e50587e80ffbe4a6e25 221101c32f12b915fd12af76ecaf2ef5d33689c9 refs/heads/dependabot/cargo/src-tauri/sha2-0.11.0
8c6bbd8ff9ebb7ea37a2bc95ac9c45c4dbc41a62 617e6c5c42d9d17ced3c5fb16ce1b86520b2fe94 refs/heads/dependabot/cargo/src-tauri/tungstenite-0.29.0
eabe35347318657cff9e5c3de20ee6e2d3c8443f 47136586af27347fd26a8a8c53cf85afa9fdc92d refs/heads/dependabot/github_actions/actions/checkout-7
629739f1408f6b5baa2a200d48b1c48ba3d6412a c359e015eb53b0b49de59f03fb9aad80dac4dac9 refs/heads/dependabot/github_actions/actions/setup-node-7
ed7c126988fc744fc1f8c4e6136b10b25907ab2b fe083dcb0b19e017ab1bae23812925f3557224b7 refs/heads/dependabot/github_actions/docker/build-push-action-7
3c5554b6a04d6b11d47fc3470f380fa4af5ebf42 ab57fe6403b5146db8175d0f735962d68beba686 refs/heads/dependabot/github_actions/docker/setup-buildx-action-4
f607533e7b400908ddee245a7719e009f97107af 4b6c1e4effaed6940d9d365d1997137bb7946b46 refs/heads/dependabot/github_actions/tauri-apps/tauri-action-1
48ccfd7b6e983859b683747c14c94521470d8ed2 a6d51f96e6739d03969bc4ac498e9b39ce7c70ea refs/heads/dependabot/npm_and_yarn/minor-and-patch-23d97c599f
51689281faeda4037bcf4a5bc6d223264bbd0e16 a1920ad81e6a9d4e5374e2a5980bfdbdb65f14ec refs/heads/dependabot/npm_and_yarn/types/node-26.0.1
d5327a404c40f10e0a10faa18f8cef1823da85c4 ebfe483a4263baddb0b5bc8f26f761ddc6e1cb43 refs/heads/docs/admin-remote-control-design
000df9817f0d5393bb724189aa626cc681b435af c4198ba59970cc915b6c65508539d7af8d4a5808 refs/heads/feat/144
2215004f4cc37e66a72155b1dab1c57435530d6d 1e9644b668c52cb2cdc53e023eaca37cd1113a06 refs/heads/feat/154
f8add1962514ee6fb9fae186c28dc5de36846eef 897b1bbdfa19b95ffa6efdbd9aa7432f8e83a8ee refs/heads/feat/161
2ad4c3e5d7aaf5e4de4c6fd5e28b773499c37ae0 efc8842db02268e39f637cb8055d45abdad6d576 refs/heads/feat/163
8f599cd342e3939d1fe5336323cd18dae90bed84 9f35e96cb111eb0b5ca1ff3286f0e67778a201d2 refs/heads/feat/186
0105cd529f367e721ed6caac46322eb9cd8f688b f6c9b4df3c8ae847602d83f1bf4ac43a9efc2367 refs/heads/feat/191
0452ad7a0f581dbc60c3e678d9095c9638e400df 70bb9179d78462ceb68a3184fe62f0a8a92542bc refs/heads/feat/196
8c2800dd33392efd40430c993ad9f6cc6eecb770 ffb1dea75a3bf1f140e89c31ae4ea49dc6e04d1e refs/heads/feat/199
000338f216418730f89ee13eb37fbbca5470d27a 71580a26c61602d1387b0b83cd0f8b5c89796f1e refs/heads/feat/210
38f5eea05f66d4e7f9282e6eb244bb0bb099a9cb 620fe216f3927c3b85a6ffe31a1a0e2bcbaf288e refs/heads/feat/219
cc848bb9d2e402179552e965b8bce44e6a89bd2d 88a82d88a19eeb56232ab8a2306af9775f2b5d08 refs/heads/feat/225
83887e8f8ead008b1b07c7b63c671ad89730fb50 2e766c353b5d5981ac0250132df7824bc1cded62 refs/heads/feat/228
4f19ea7e06ced5dd865621726fae8d983ef9e464 89d0f69530f9438c78494fba6d7808e9dd6442d4 refs/heads/feat/243
bf4c6def218a89f6eaa5eca0675acd107cbed8fb ff3da232fde03421b9153368a2c1c8c84361c840 refs/heads/feat/246
9ed4c89fbb2d194308cc691ad009dd8cc9ecb2c0 f2455db25cc8a7e80138933edf29f60fcbffa0c9 refs/heads/feat/252
ce272be1490b97f6c21a0f59114cf77d6cab7a4d 33757372c48a569defc5134cec39259a27f534d4 refs/heads/feat/439
20212f5978d2acf4b2241216c5a64c57499e9a31 d7cb5f1d02240b51b0a7f724a6dd02c64d620db7 refs/heads/feat/441
e1b1825805306638ecea637cc5c97292a43b65d2 93e8c37b3817dac7e4c2ec3222fdb5faecd1833e refs/heads/feat/444
df307784a0c6ea6a35c5326285cb8411438c45a8 7fa87d0624fe4c678aa3d15edf0a6cbf0902008d refs/heads/feat/adb-optional-chrome-cleanup
ea65799170af0b116ee6e095b42460d79fb2f235 4652951d2beb90a347e65ad0bf11be73dbc65182 refs/heads/feat/blog-remote-publish
a9cd2d18bbe33f2876e82ac0113f175db02e84b9 6a89eb77e3bd249ca9d2e0f016ee2d810671fd65 refs/heads/feat/manual-add-login
b2493a8e9a81878f44ab0398d04125d6d3ec0af8 80a0616510079e4bdd0bc1ef1848d5a7c7090bbd refs/heads/feat/packet-wire-trace
85a06693fe0c776ebb515d2e13952afebd5575dc 08f559857ac081b5e84eed7adfab8576c45fe2c8 refs/heads/feat/pstmacro-session
0ceca822befd5c501a94b3a58174d232e5497149 24e7ecac88f25b76ca7a76539782ea0bac3248b5 refs/heads/feat/wasm-fetch-block-experiment
8d649c49ef8d3ee7e687d1a1a334420f6da78d0d 8b904dbd664da998afbce46c4d7016fd3e5f41b0 refs/heads/fix/169
65744ceab7a5c3921d46590c2d736e20d678333a e7b9bc6d8cdd41b81b23c036aa3fedc9098c9aaf refs/heads/fix/188
8a8d062563f31fb5bd1823b0ab70e919f4f1334d 34bbcaa372e58970429da8b1060a5c3d792aaa8b refs/heads/fix/190
afcd028a86ab8499fa0f9f71f9217258b5e28c33 cd79ee3f33bc589796752392b78d7838714b4cac refs/heads/fix/194
e600aa7a98f05a5a97fb0b94a43b7a813fdd9c35 de9d9df0baa2357fb0c327db1d796bf3beabb2fd refs/heads/fix/245
d3cff82732ee74fe7eb0da8122c9e6bb6f04aa76 2ca5e3b8195bb66b080d016287cd4a82508f9eca refs/heads/fix/400-content-change-background
f1eaba9db5676b0217f7112f22f14167244e971b 179d5ced20729f2432089fb62028e95fab72aba1 refs/heads/fix/400-forum-comment-distribute-and-content-change
14616307b794b2f4f3809ae7951e1fbf5b9e1177 203761652e19fc86fa0264c60c2b80e24e78c90e refs/heads/fix/band-login-reuse-and-account-color
76dc23a9f06e4f98905e0523d31ddbf109b525b0 3e8cd6f685b7a556232ecd09fa70f726ac05aa1b refs/heads/fix/blog-publish-media
6c6a02f3c2649c6c57f84a7b28f5113f93f76c6c 5119f88ce9257c6ddd0bf7f0a2d628cca1f4e967 refs/heads/fix/cafe-latest-comment-menu-scope
17bff4452f297b9c9fcdbd6145a86ac381501cca 6100adfb07e761c91a5a263df3447c8f48d272a0 refs/heads/fix/comm-log-initial-empty
82e3854d119072ead005b9f2e3de869288311204 43c686f5844e27b9c1f506d1c80976193318f04a refs/heads/fix/login-input-diag
e31a2bf4d55508c37a5a0f855c0ff1b0fdf37891 2502ebd6b5030a199838bbf09c74dbbb621aa456 refs/heads/fix/naver-v4-login-form
8eb1df7d52b3a2672a819b304813818b6272321e 53cf36379782f812bcda647b82b5eb815cccfe72 refs/heads/fix/remote-control-and-admin-ux
f8478058f08aa0e53a6b663b5d68e8455cf18e49 7567617c737fc6f518f21e4157a7465f9531bf3a refs/heads/fix/report-browser-submit
d90a6e37e1a0e57aa876dcf12644010c9c66f659 ac4ccfb8deb8397e0ee9556f91004888a7367bb3 refs/heads/fix/report-multi-select-and-dialog
b559c00e7efd158f3f678a0f07b57d6e62524b62 d3df1384548e31ea26041bc00f2b06bc0a27036d refs/heads/fix/report-token-login
007affe5f32ce2b81834e3336926f11edf3bbbb3 e348d3044a48efe4f323bc23723c18484e250656 refs/heads/local-snapshot/chore/core-to-master
bd27d987fb880cc03409f7e02cf3b6573c6e70d7 3e9a0e49d016b90100eb7b7542d8cf091edcae89 refs/heads/local-snapshot/ci/cloud-run-deploy
d5327a404c40f10e0a10faa18f8cef1823da85c4 ebfe483a4263baddb0b5bc8f26f761ddc6e1cb43 refs/heads/local-snapshot/docs/admin-remote-control-design
0dcf37c0b26171732e0490f9ba8469345da6cdd4 15f3af31a5253f993626dd2e94360b4105290f97 refs/heads/local-snapshot/feat/398
c25188d6ddf4daac3968c19da15eac9085036733 0b61fc91e35bae7a8688389f4888db0852b72b64 refs/heads/local-snapshot/feat/405
ce272be1490b97f6c21a0f59114cf77d6cab7a4d 33757372c48a569defc5134cec39259a27f534d4 refs/heads/local-snapshot/feat/439
20212f5978d2acf4b2241216c5a64c57499e9a31 d7cb5f1d02240b51b0a7f724a6dd02c64d620db7 refs/heads/local-snapshot/feat/441
e1b1825805306638ecea637cc5c97292a43b65d2 93e8c37b3817dac7e4c2ec3222fdb5faecd1833e refs/heads/local-snapshot/feat/444
f977a55f2379843e666b80a290da4f2a1239604e 4b52015f3994b375381676b11cf6cb68721000b7 refs/heads/local-snapshot/feat/admin-blog-write-action
539506bae3d2e54fe8781acbe0f605cca952f114 d97c7982b4c40118b7a2b01b21d059bed834cf76 refs/heads/local-snapshot/feat/blog-publish-port
ea65799170af0b116ee6e095b42460d79fb2f235 4652951d2beb90a347e65ad0bf11be73dbc65182 refs/heads/local-snapshot/feat/blog-remote-publish
0ceca822befd5c501a94b3a58174d232e5497149 24e7ecac88f25b76ca7a76539782ea0bac3248b5 refs/heads/local-snapshot/feat/wasm-fetch-block-experiment
2aa3d0d1e5b7cf71c3570769ef0562bf2d2b774b 08ca99512e8cc4c22e17ec0c3711c4996d01abdb refs/heads/local-snapshot/fix/admin-distribute-commlog-ux
14616307b794b2f4f3809ae7951e1fbf5b9e1177 203761652e19fc86fa0264c60c2b80e24e78c90e refs/heads/local-snapshot/fix/band-login-reuse-and-account-color
e326632fe88ecd6e0788c7b1b93d8ea86f91fcf3 595deb9cb6e0f6c6ba58e9ad58f9e148d037d9d4 refs/heads/local-snapshot/fix/band-oauth-login
761b34fe7305a2e92d094ff2e67e5f2236d6ea50 099bb9755f05ac8097ba1b3327d536c1e17572a1 refs/heads/local-snapshot/fix/blog-editor-session
2cc34e8065a842ab12332181226deeba2396d9ba 733d8d622d2ca11aef4e5c2c42a0108217172ab9 refs/heads/local-snapshot/fix/blog-editor-source-visibility
b0c599f5f98fd57b6f37a37c33026fb589a35fc3 85ff2b773ec3ba137f950fb485f52d3241edb15d refs/heads/local-snapshot/fix/blog-oglink-and-activity
181211d8896cdcbbc8ba53a45e269c303e9a82aa 4146740fa809b0daa7b74b28e5626dad08441de4 refs/heads/local-snapshot/fix/blog-publish-gate
76dc23a9f06e4f98905e0523d31ddbf109b525b0 3e8cd6f685b7a556232ecd09fa70f726ac05aa1b refs/heads/local-snapshot/fix/blog-publish-media
6c6a02f3c2649c6c57f84a7b28f5113f93f76c6c 5119f88ce9257c6ddd0bf7f0a2d628cca1f4e967 refs/heads/local-snapshot/fix/cafe-latest-comment-menu-scope
56296c88deb6226c44bef7f0fc7b83d8d2cb383f 0f0b7159e401f51edf472221a60125eaab9dde44 refs/heads/local-snapshot/fix/clip-profile-creatorhub-rest
17bff4452f297b9c9fcdbd6145a86ac381501cca 6100adfb07e761c91a5a263df3447c8f48d272a0 refs/heads/local-snapshot/fix/comm-log-initial-empty
4db51ba6ca968e993688f5515555e91a6f728575 c2c3f1b1d2985ff1d45c8baf627c85cbb42d91cf refs/heads/local-snapshot/fix/cross-build-pdb
f7bf29a03640d997596461329427b9ed9afacb8b 82ae8c52b463b3a0e9ddfd3bc03d589ea69f2583 refs/heads/local-snapshot/fix/forum-retry-status-visible
e31a2bf4d55508c37a5a0f855c0ff1b0fdf37891 2502ebd6b5030a199838bbf09c74dbbb621aa456 refs/heads/local-snapshot/fix/naver-v4-login-form
8eb1df7d52b3a2672a819b304813818b6272321e 53cf36379782f812bcda647b82b5eb815cccfe72 refs/heads/local-snapshot/fix/remote-control-and-admin-ux
f8478058f08aa0e53a6b663b5d68e8455cf18e49 7567617c737fc6f518f21e4157a7465f9531bf3a refs/heads/local-snapshot/fix/report-browser-submit
3dc5692270aeff5b83dcbfe859c8a475a27a1abe cf957af34c4ef34f4e64dc7f374c3dde8f036883 refs/heads/local-snapshot/fix/report-browser-submit-clean
5d8146cb49e9b24ed5401c397c10f7aeca9fec45 5617159423a55d4c86d95d2b10ddf80e488355bb refs/heads/local-snapshot/fix/report-by-item-params
d90a6e37e1a0e57aa876dcf12644010c9c66f659 ac4ccfb8deb8397e0ee9556f91004888a7367bb3 refs/heads/local-snapshot/fix/report-multi-select-and-dialog
1304972b538879b64e8761e5495ea6cdd7f202ad 8d2d280582805fa31e0f11e7df5258b0216d627f refs/heads/local-snapshot/fix/report-reason-select
91a7b01698ca7e28909d404ade794f6a4fcc7733 d7ff914ac672b94d86a77d188f4013702f62c4b9 refs/heads/local-snapshot/fix/report-submit-button
b559c00e7efd158f3f678a0f07b57d6e62524b62 d3df1384548e31ea26041bc00f2b06bc0a27036d refs/heads/local-snapshot/fix/report-token-login
e37d749a4996ab2556d76626aa6fd3687d3ffc1e 957a9e1705d0c5a4d58a803a862a2033cc30f35a refs/heads/local-snapshot/fix/view-boost-load-wait
176eed9d304b8c2de794c805bfa866135f24cc59 53e2e96690be201e0caf7b39203311e764297cf6 refs/heads/local-snapshot/master
25fcbf238c92ac34ab01a7ec9c8857ae9bb880df 700e229d64ba8f9f6193afc006b784aa399e3376 refs/heads/local-snapshot/test/band-on-master
e445b6bbb36673bbc370457e9717f91d45301921 f82147efacab91fdaf2902e99df47a63c45648d1 refs/heads/local-snapshot/worktree-agent-a3f7aab201f5538e9
18039168f1941239e8693d0cf0dca2cafa2c110f e4aa63428e18e17968bf47a7c732020b413b14af refs/heads/local-snapshot/worktree-agent-a4c60df07a63a9539
cd52e6d4096437127cbda5c8f1de7f4b1220488d 15d523f3ee993cb699b747981da9c010d0cabcf9 refs/heads/local-snapshot/worktree-agent-a60665a68fc6cffc5
f3be170e7361044ca646973441f0016860f24b6e adb20b760d460529fe7cc9e2c56c2f3e84ffd521 refs/heads/local-snapshot/worktree-agent-aa0eb3feb4b4169cc
e445b6bbb36673bbc370457e9717f91d45301921 f82147efacab91fdaf2902e99df47a63c45648d1 refs/heads/local-snapshot/worktree-agent-af00169a0cc81a58f
176eed9d304b8c2de794c805bfa866135f24cc59 53e2e96690be201e0caf7b39203311e764297cf6 refs/heads/master
